COIN 25 01:15:49 -5hrs,UNKNOWN VIEWS,POSITIVE VIEWS,NEGATIVE VIEWS,UNKNOWN COUNT,GOOD COUNT,BAD COUNT,PERCENT UP,START BTC PRICE,START USD PRICE (Mar-25-1245AM-2018)
BTC,656584,434095,75608,335,210,32,-4.11%,1.0,8577.45
ETH,195406,193407,30963,150,89,21,-3.71%,0.06082810159196497,521.75
XRP,69538,55319,2162,37,65,12,-3.59%,7.456610064762836e-05,0.639587
BCH,51764,3991,16711,41,9,5,0,0.0,0
LTC,103972,164715,211627,46,56,139,-4.18%,0.01863724067176142,159.86
EOS,3926,9027,3410,5,24,4,-3.86%,0.000779952083661228,6.69
NEO,5631,6108,2623,19,16,5,-5.81%,0.007643297250348296,65.56
XMR,12752,6915,540,9,15,4,-4.08%,0.02412838314417455,206.96
TRX,243177,77543,38487,1035,481,35,2.87%,5.4791024513031475e-06,0.047017
ETC,3353,2157,99455,4,16,6,0,0.0,0
QTUM,110,15006,60,4,11,5,-3.84%,0.0020836368085862616,17.88
ICX,5095,24320,28487,69,24,7,-11.69%,0.0004078707399357895,3.50
BNB,25634,58460,20642,14,15,6,0,0.0,0
XVG,114740,332538,29127,114,183,21,1.19%,4.9426941610390216e-06,0.042414
STORM,6511,23961,27111,22,19,5,-19.23%,6.128549203778049e-06,0.052590
MAID,140,2138,18389,2,2,3,-10.60%,3.248573909091439e-05,0.278765
XAS,0,1078,76869,0,1,3,0.75%,8.044399643404438e-05,0.690302
AMP,0,389,9929,1,6,3,10.30%,3.909312854337705e-05,0.335464
OCN,8135,36506,671,23,32,7,11.87%,1.518211428538133e-06,0.013028
