COIN 25 01:15:49 -5hrs,UNKNOWN VIEWS,POSITIVE VIEWS,NEGATIVE VIEWS,UNKNOWN COUNT,GOOD COUNT,BAD COUNT,PERCENT UP,START BTC PRICE,START USD PRICE (Mar-24-1009PM-2018)
XPA,0,0,0,0,0,0,-2.04%,8.303849720249861e-06,0.071373
FSN,0,0,0,0,0,0,5.59%,0.000288534141849434,2.48
CRPT,0,0,0,0,0,0,30.43%,0.0001005178489779725,0.863968
DEW,0,0,0,0,0,0,-2.85%,7.614594358717249e-05,0.656110
NAV,0,0,0,0,0,0,-2.90%,0.00012418063989007113,1.07
BOS,0,0,0,0,0,0,-7.88%,1.7907544612185024e-05,0.154300
ZEN,78,0,0,1,0,0,0.17%,0.0021818654485358294,18.80
PPP,0,0,0,0,0,0,-3.43%,9.249113327019851e-05,0.796948
PURA,0,0,0,0,0,0,-2.80%,4.413937013722541e-05,0.380326
BIX,0,0,0,0,0,0,0,0.0,0
ABT,0,0,0,0,0,0,-3.94%,8.168358772956011e-05,0.703825
XAS,0,0,0,0,0,0,-1.35%,7.840974504670121e-05,0.675616
EDG,0,0,0,0,0,0,-1.87%,8.754584238575382e-05,0.754337
MED,0,0,0,0,0,0,-0.75%,2.3629138580951853e-06,0.020360
PRL,0,42,0,0,15,0,-2.96%,9.651632685272873e-05,0.831631
SPHTX,0,0,1705,0,0,1,7.56%,3.604209607635601e-05,0.310556
EVN,0,0,0,0,0,0,-1.57%,6.431617087256048e-05,0.554179
LEND,220,35,1994,1,1,1,1.87%,6.245125619742633e-06,0.053811
VEE,0,0,0,0,0,0,10.08%,4.426401500380666e-06,0.038140
ADX,0,0,0,0,0,0,-2.05%,9.054892485098325e-05,0.780213
CMT,0,0,0,0,0,0,-8.94%,1.1709538001596941e-05,0.100895
BLZ,0,0,0,0,0,0,-4.87%,1.1907414628711493e-07,0.001026
XDN,0,0,0,0,0,0,-2.34%,9.413356730358569e-07,0.008111
SLS,0,0,0,0,0,0,4.74%,0.006310001299834735,54.37
TKY,994,0,0,1,0,0,-8.74%,1.7617402930198876e-06,0.015180
XBY,0,18,0,0,1,0,1.28%,1.4920361911128444e-05,0.128561
ITC,0,0,0,0,0,0,0,0.0,0
DDD,0,0,0,0,0,0,2.35%,2.1244870295062486e-05,0.183056
MDS,0,0,0,0,0,0,-0.88%,1.2665844985423283e-05,0.109135
LOOM,0,0,0,0,0,0,0,0.0,0
